input,output
oi,olá tudo bem?
olá,olá tudo bem?
opa,olá tudo bem?
e aí,olá tudo bem?
e ai,olá tudo bem?
bom dia,olá tudo bem?
boa tarde,olá tudo bem?
dia,olá tudo bem?
tarde,olá tudo bem?
noite,olá tudo bem?
boa noite,olá tudo bem?
Quem é o ídolo do Henrique de Automação?,Serjão matador de onça
ídolo do Henrique de Automação?,Serjão matador de onça
Quem é o ídolo do Henrique?,Serjão matador de onça
ídolo henrique,Serjão matador de onça
melhor time do brasil,São Paulo
melhor jogador do mundo,Messi
melhor jogador do brasil,Paulo Henrique Ganso
palmeiras tem mundial,Não. O palmeiras não tem mundial.
quero comprar um carro,FN_BUY
compras,FN_BUY
adquirir,FN_BUY
cmoprar,FN_BUY
gato pedro,Gohan
nome gato pedro,Gohan